,Name,URL,Functional_Group,Popularity %,Short_Code,Duplicate,Duplicate Notes,Verified,Has_Calcification_Rates
54,Acropora cerealis,https://coralnet.ucsd.edu/label/5759/,Hard coral,28,ACE,False,,False,False
55,Acropora cervicornis,https://coralnet.ucsd.edu/label/1768/,Hard coral,80,AcrCerv,False,,True,True
56,Acropora cervicornis - bleached,https://coralnet.ucsd.edu/label/6162/,Hard coral,0,BAcropCerv,False,,False,False
57,Acropora cervicornis intermediate bleached,https://coralnet.ucsd.edu/label/6635/,Hard coral,0,CI-ACER,False,,False,False
58,Acropora cervicornis recently dead,https://coralnet.ucsd.edu/label/6168/,Hard coral,49,AC_recentD,False,,False,False
59,Acropora cf. pulchra,https://coralnet.ucsd.edu/label/5347/,Hard coral,71,APULCHRA,False,,False,False
60,Acropora cf. pulchra (bleached),https://coralnet.ucsd.edu/label/5367/,Hard coral,58,APUL-BL,False,,False,False
61,Acropora clathrata,https://coralnet.ucsd.edu/label/1545/,Hard coral,63,AcrClath,False,,True,False
62,Acropora Club Shaped,https://coralnet.ucsd.edu/label/604/,Hard coral,0,AcClub,False,,False,False
63,Acropora Compound,https://coralnet.ucsd.edu/label/5505/,Hard coral,47,AcrCom,False,,False,False
64,Acropora cophodactyla,https://coralnet.ucsd.edu/label/6893/,Hard coral,15,ACOP,False,,False,False
65,Acropora (corymbose),https://coralnet.ucsd.edu/label/221/,Hard coral,75,Acr_corym,False,,True,False
66,Acropora corymbose small,https://coralnet.ucsd.edu/label/2069/,Hard coral,47,acr_cor,False,,False,False
67,Acropora corymbose/tabular/plate,https://coralnet.ucsd.edu/label/1412/,Hard coral,81,BRA_TAB-Ac,False,,False,False
68,Acropora corymbose/tabular/plate Bleached,https://coralnet.ucsd.edu/label/2594/,Hard coral,64,BRA_TAB-B*,False,,False,False
69,Acropora cytherea,https://coralnet.ucsd.edu/label/3354/,Hard coral,59,AcrCyth,False,,True,False
70,Acropora cytherea bleached,https://coralnet.ucsd.edu/label/4515/,Hard coral,19,ACYT_BL,False,,False,False
71,Acropora cytheria,https://coralnet.ucsd.edu/label/6270/,Hard coral,25,cytheria,False,,False,False
72,Acropora dendrum,https://coralnet.ucsd.edu/label/6290/,Hard coral,18,dendrum,False,,False,False
73,Acropora derawarensis,https://coralnet.ucsd.edu/label/6296/,Hard coral,18,derawarens,False,,False,False
74,Acropora (digitate),https://coralnet.ucsd.edu/label/602/,Hard coral,79,Acr_dig,False,,True,False
75,"Acropora digitate, branches resembling finger",https://coralnet.ucsd.edu/label/1411/,Hard coral,75,BRA_DIG_Ac,False,,False,False
76,Acropora digitate/finger-like Bleached,https://coralnet.ucsd.edu/label/2595/,Hard coral,0,BRA_DIG_B*,False,,False,False
77,Acropora digitifera,https://coralnet.ucsd.edu/label/4475/,Hard coral,48,ACRdi,False,,False,False
78,Acropora divaricata,https://coralnet.ucsd.edu/label/2381/,Hard coral,40,AcrDiv,False,,True,False
79,Acropora donei,https://coralnet.ucsd.edu/label/6277/,Hard coral,18,donei,False,,False,False
80,Acropora downingi,https://coralnet.ucsd.edu/label/1544/,Hard coral,63,AcrDown,False,,True,False
81,Acropora echinata,https://coralnet.ucsd.edu/label/6302/,Hard coral,17,echinata,False,,False,False
82,Acropora echinata1,https://coralnet.ucsd.edu/label/1744/,Hard coral,0,AE1,False,,False,False
83,Acropora echinata2,https://coralnet.ucsd.edu/label/1745/,Hard coral,0,AE2,False,,False,False
84,Acropora elegans,https://coralnet.ucsd.edu/label/6297/,Hard coral,17,elegans,False,,False,False
85,Acropora elseyi,https://coralnet.ucsd.edu/label/2384/,Hard coral,46,AcrEls,False,,True,False
86,Acropora (encrusting),https://coralnet.ucsd.edu/label/605/,Hard coral,70,Acr_enc,False,,True,False
87,Acropora_encrusting,https://coralnet.ucsd.edu/label/5025/,Hard coral,52,acrenc,True,Duplicate of Acropora (encrusting),False,False
88,Acropora Encrusting,https://coralnet.ucsd.edu/label/3360/,Hard coral,37,ACE**,True,Duplicate of Acropora (encrusting),False,False
89,Acropora exquisita,https://coralnet.ucsd.edu/label/6298/,Hard coral,18,exquisita,False,,False,False
90,Acropora florida,https://coralnet.ucsd.edu/label/149/,Hard coral,56,AcrFlo,False,,True,False
91,Acropora formosa,https://coralnet.ucsd.edu/label/125/,Hard coral,67,ACfor,True,Duplicate of Acropora muricata,False,False
92,Acropora formosa (muricata) group,https://coralnet.ucsd.edu/label/1938/,Hard coral,52,Acr_f_m_gr,False,,False,False
93,Acropora gemmifera,https://coralnet.ucsd.edu/label/2379/,Hard coral,56,AcrGem,False,,True,False
94,Acropora gemmifera bleached,https://coralnet.ucsd.edu/label/4516/,Hard coral,0,AGEM_BL,False,,False,False
95,Acropora glauca,https://coralnet.ucsd.edu/label/6271/,Hard coral,18,glauca,False,,False,False
96,Acropora globiceps,https://coralnet.ucsd.edu/label/5418/,Hard coral,50,AGLO,False,,False,False
97,Acropora globiceps_bleached,https://coralnet.ucsd.edu/label/5419/,Hard coral,35,AGLO_BL,False,,False,False
98,Acropora gomezi,https://coralnet.ucsd.edu/label/6299/,Hard coral,18,gomezi,False,,False,False
99,Acropora grandis,https://coralnet.ucsd.edu/label/6284/,Hard coral,18,grandis,False,,False,False
100,Acropora granulosa,https://coralnet.ucsd.edu/label/6291/,Hard coral,18,granulosa,False,,False,False
101,Acropora (hispidose),https://coralnet.ucsd.edu/label/601/,Hard coral,51,Acr_hisp,False,,True,False
102,Acropora hoeksemai,https://coralnet.ucsd.edu/label/6278/,Hard coral,18,hoeksemai,False,,False,False
103,Acropora horrida,https://coralnet.ucsd.edu/label/6285/,Hard coral,18,horrida,False,,False,False
104,Acropora humilis,https://coralnet.ucsd.edu/label/129/,Hard coral,60,AcrHum,False,,True,False
105,Acropora humilis group,https://coralnet.ucsd.edu/label/1939/,Hard coral,36,Acr_hum_gr,False,,False,False
106,Acropora hyacinthus,https://coralnet.ucsd.edu/label/127/,Hard coral,65,AcrHya,False,,True,False
107,Acropora hyacinthus group,https://coralnet.ucsd.edu/label/1942/,Hard coral,41,Acr_hya_gr,False,,False,False
108,Acropora intermedia,https://coralnet.ucsd.edu/label/4476/,Hard coral,58,ACRin,False,,False,False
109,Acropora japonica,https://coralnet.ucsd.edu/label/6272/,Hard coral,18,japonica,False,,False,False
110,Acropora kirstyae,https://coralnet.ucsd.edu/label/6300/,Hard coral,18,kirstyae,False,,False,False
111,Acropora kosurini,https://coralnet.ucsd.edu/label/6304/,Hard coral,18,kosurini,False,,False,False
112,Acropora latistella,https://coralnet.ucsd.edu/label/4103/,Hard coral,60,Acr_lat,False,,False,False
113,Acropora listeri,https://coralnet.ucsd.edu/label/4477/,Hard coral,28,ACRli,False,,False,False
114,Acropora loisetteae,https://coralnet.ucsd.edu/label/6286/,Hard coral,18,loisetteae,False,,False,False
115,Acropora Lokani,https://coralnet.ucsd.edu/label/7299/,Hard coral,7,A. lokani,False,,False,False
116,Acropora longicyathus,https://coralnet.ucsd.edu/label/6305/,Hard coral,18,longicyath,False,,False,False
117,Acropora loripes,https://coralnet.ucsd.edu/label/2380/,Hard coral,34,AcrLor,False,,True,False
118,Acropora lutkeni,https://coralnet.ucsd.edu/label/6269/,Hard coral,18,lutkeni,False,,False,False
