,Name,URL
95,Acropora gemmifera bleached,https://coralnet.ucsd.edu/label/4516/
96,Acropora glauca,https://coralnet.ucsd.edu/label/6271/
97,Acropora globiceps,https://coralnet.ucsd.edu/label/5418/
98,Acropora globiceps_bleached,https://coralnet.ucsd.edu/label/5419/
99,Acropora gomezi,https://coralnet.ucsd.edu/label/6299/
100,Acropora grandis,https://coralnet.ucsd.edu/label/6284/
101,Acropora granulosa,https://coralnet.ucsd.edu/label/6291/
102,Acropora (hispidose),https://coralnet.ucsd.edu/label/601/
103,Acropora hoeksemai,https://coralnet.ucsd.edu/label/6278/
104,Acropora horrida,https://coralnet.ucsd.edu/label/6285/
105,Acropora humilis,https://coralnet.ucsd.edu/label/129/
106,Acropora humilis group,https://coralnet.ucsd.edu/label/1939/
107,Acropora hyacinthus,https://coralnet.ucsd.edu/label/127/
108,Acropora hyacinthus group,https://coralnet.ucsd.edu/label/1942/
109,Acropora intermedia,https://coralnet.ucsd.edu/label/4476/
110,Acropora japonica,https://coralnet.ucsd.edu/label/6272/
111,Acropora kirstyae,https://coralnet.ucsd.edu/label/6300/
112,Acropora kosurini,https://coralnet.ucsd.edu/label/6304/
113,Acropora latistella,https://coralnet.ucsd.edu/label/4103/
114,Acropora listeri,https://coralnet.ucsd.edu/label/4477/
115,Acropora loisetteae,https://coralnet.ucsd.edu/label/6286/
116,Acropora Lokani,https://coralnet.ucsd.edu/label/7299/
117,Acropora longicyathus,https://coralnet.ucsd.edu/label/6305/
118,Acropora loripes,https://coralnet.ucsd.edu/label/2380/
119,Acropora lutkeni,https://coralnet.ucsd.edu/label/6269/
120,Acropora microclados,https://coralnet.ucsd.edu/label/4478/
121,Acropora microphthalma,https://coralnet.ucsd.edu/label/4479/
122,Acropora millepora,https://coralnet.ucsd.edu/label/126/
123,Acropora monticulosa,https://coralnet.ucsd.edu/label/2385/
124,Acropora multiacuta,https://coralnet.ucsd.edu/label/6301/
125,Acropora muricata,https://coralnet.ucsd.edu/label/2386/
126,Acropora muricata bleached,https://coralnet.ucsd.edu/label/5336/
127,Acropora nana,https://coralnet.ucsd.edu/label/4480/
128,Acropora nasuta,https://coralnet.ucsd.edu/label/2387/
129,Acropora NonBranching Bleached,https://coralnet.ucsd.edu/label/5883/
130,Acropora NonBranching Dead,https://coralnet.ucsd.edu/label/5884/
131,Acropora NonBranching Healthy,https://coralnet.ucsd.edu/label/5881/
132,Acropora NonBranching Paling,https://coralnet.ucsd.edu/label/5882/
133,Acropora palmata,https://coralnet.ucsd.edu/label/1769/
134,Acropora palmata - Bleached,https://coralnet.ucsd.edu/label/7241/
135,Acropora palmata - outplanted,https://coralnet.ucsd.edu/label/7626/
136,Acropora palmerae,https://coralnet.ucsd.edu/label/6258/
137,Acropora paniculata,https://coralnet.ucsd.edu/label/6273/
138,Acropora papillare,https://coralnet.ucsd.edu/label/6267/
139,Acropora pharaonis,https://coralnet.ucsd.edu/label/1546/
140,Acropora plate,https://coralnet.ucsd.edu/label/7288/
141,Acropora (plating),https://coralnet.ucsd.edu/label/606/
142,Acropora polystoma,https://coralnet.ucsd.edu/label/6268/
143,Acropora prolifera,https://coralnet.ucsd.edu/label/1356/
144,Acropora pulchra,https://coralnet.ucsd.edu/label/6287/
145,Acropora pulchra - dead,https://coralnet.ucsd.edu/label/6167/
146,Acropora retusa,https://coralnet.ucsd.edu/label/4323/
147,Acropora robusta,https://coralnet.ucsd.edu/label/6260/
148,Acropora robusta group,https://coralnet.ucsd.edu/label/1937/
149,Acropora Robusta (RUN),https://coralnet.ucsd.edu/label/7123/
150,Acropora samoensis,https://coralnet.ucsd.edu/label/2382/
151,Acropora sarmentosa,https://coralnet.ucsd.edu/label/4481/
152,Acropora secale,https://coralnet.ucsd.edu/label/2383/
153,Acropora selago,https://coralnet.ucsd.edu/label/6292/
154,Acropora Simple,https://coralnet.ucsd.edu/label/5506/
155,Acropora solitaryensis,https://coralnet.ucsd.edu/label/6274/
156,Acropora sp,https://coralnet.ucsd.edu/label/7497/
157,Acropora sp.,https://coralnet.ucsd.edu/label/1940/
158,Acropora_sp,https://coralnet.ucsd.edu/label/6255/
159,Acropora Sp1.,https://coralnet.ucsd.edu/label/1746/
160,Acropora Sp2,https://coralnet.ucsd.edu/label/1747/
161,Acropora Sp3,https://coralnet.ucsd.edu/label/1748/
162,Acropora spathulata,https://coralnet.ucsd.edu/label/2388/
163,Acropora speciosa,https://coralnet.ucsd.edu/label/6306/
164,Acropora spicifera,https://coralnet.ucsd.edu/label/6275/
165,Acropora spp. branching_bleached,https://coralnet.ucsd.edu/label/5420/
166,Acropora spp._other,https://coralnet.ucsd.edu/label/5490/
167,Acropora spp._other_bleached,https://coralnet.ucsd.edu/label/5491/
168,Acropora spp._staghorn,https://coralnet.ucsd.edu/label/5457/
169,Acropora squarrosa,https://coralnet.ucsd.edu/label/2434/
170,Acropora striata,https://coralnet.ucsd.edu/label/6281/
171,Acropora subgenus Isopora,https://coralnet.ucsd.edu/label/1941/
172,Acropora (submassive),https://coralnet.ucsd.edu/label/627/
173,Acropora subulata,https://coralnet.ucsd.edu/label/6293/
174,Acropora sukarnoi,https://coralnet.ucsd.edu/label/6259/
175,Acropora surculosa,https://coralnet.ucsd.edu/label/6216/
176,Acropora_tables_or_plates,https://coralnet.ucsd.edu/label/6920/
177,Acropora_tabular,https://coralnet.ucsd.edu/label/4951/
178,Acropora (tabulate),https://coralnet.ucsd.edu/label/187/
179,Acropora tabulate (pale),https://coralnet.ucsd.edu/label/4587/
180,Acropora tenella,https://coralnet.ucsd.edu/label/6307/
181,Acropora tenuis,https://coralnet.ucsd.edu/label/4742/
182,Acropora tortuosa,https://coralnet.ucsd.edu/label/3078/
183,Acropora tumida,https://coralnet.ucsd.edu/label/6288/
184,Acropora valenciennesi,https://coralnet.ucsd.edu/label/6279/
185,Acropora valida,https://coralnet.ucsd.edu/label/2435/
186,Acropora verweyi,https://coralnet.ucsd.edu/label/6294/
187,Acropora willisae,https://coralnet.ucsd.edu/label/6295/
188,Acropora yongei,https://coralnet.ucsd.edu/label/5760/
189,Acroporidae (branching),https://coralnet.ucsd.edu/label/168/
190,Acroporidae branching bleached (white),https://coralnet.ucsd.edu/label/2590/
191,Acroporidae (hispidose),https://coralnet.ucsd.edu/label/804/
192,Acroporidae hispidose bleached,https://coralnet.ucsd.edu/label/2591/
193,Acroporidae Other,https://coralnet.ucsd.edu/label/974/
194,Acroporidae Other Bleached,https://coralnet.ucsd.edu/label/2592/
195,Acroporidae (plate/encrusting),https://coralnet.ucsd.edu/label/169/
196,Acroporidae plate/encrusting Bleached,https://coralnet.ucsd.edu/label/2593/
197,Acroporidae (table/corymbose/digitate),https://coralnet.ucsd.edu/label/167/
198,ACRO with Turf (LOF),https://coralnet.ucsd.edu/label/6263/
199,Agaricia,https://coralnet.ucsd.edu/label/2428/
200,Agaricia agaricites,https://coralnet.ucsd.edu/label/1357/
201,Agaricia agaricites - Bleached,https://coralnet.ucsd.edu/label/6665/
202,Agaricia agaricites - Intermediate bleaching,https://coralnet.ucsd.edu/label/6646/
203,Agaricia fragilis,https://coralnet.ucsd.edu/label/1358/
204,Agaricia fragilis dead,https://coralnet.ucsd.edu/label/7607/
205,Agaricia grahamae,https://coralnet.ucsd.edu/label/1359/
206,Agaricia humilis,https://coralnet.ucsd.edu/label/1188/
207,Agaricia lamarcki,https://coralnet.ucsd.edu/label/1360/
208,Agaricia Lamarcki - Bleached,https://coralnet.ucsd.edu/label/6666/
209,Agaricia lamarcki Dead,https://coralnet.ucsd.edu/label/6709/
210,Agaricia lamarcki - Intermediate bleaching,https://coralnet.ucsd.edu/label/6647/
211,Agaricia spp.,https://coralnet.ucsd.edu/label/2962/
212,Agaricia tenuifolia,https://coralnet.ucsd.edu/label/1766/
213,Agaricia tenuifolia - Bleached,https://coralnet.ucsd.edu/label/6667/
214,Agaricia tenuifolia - Dead,https://coralnet.ucsd.edu/label/6754/
215,Agaricia tenuifolia - Intermediate bleaching,https://coralnet.ucsd.edu/label/6648/
216,Agaricia/Undaria,https://coralnet.ucsd.edu/label/377/
217,Agaricia undata,https://coralnet.ucsd.edu/label/1770/
218,Agariciidae,https://coralnet.ucsd.edu/label/109/
219,Agracia agricites,https://coralnet.ucsd.edu/label/1179/
220,Alek,https://coralnet.ucsd.edu/label/3386/
221,Alveopora,https://coralnet.ucsd.edu/label/2037/
222,Alveopora allingi,https://coralnet.ucsd.edu/label/6318/
223,Alveopora_columnar,https://coralnet.ucsd.edu/label/6923/
224,Alveopora_encrusting,https://coralnet.ucsd.edu/label/4957/
225,Alveopora excelsa,https://coralnet.ucsd.edu/label/6319/
226,Alveopora fenestrata,https://coralnet.ucsd.edu/label/6320/
227,Alveopora gigas,https://coralnet.ucsd.edu/label/7300/
228,Alveopora japonica,https://coralnet.ucsd.edu/label/6321/
229,Alveopora_massive,https://coralnet.ucsd.edu/label/4956/
230,Alveopora spongiosa,https://coralnet.ucsd.edu/label/6322/
231,Alveopora spp.,https://coralnet.ucsd.edu/label/5458/
232,Alveopora_submassive,https://coralnet.ucsd.edu/label/6924/
233,Alveopora tizardi,https://coralnet.ucsd.edu/label/3289/
234,Alveopora verriliana,https://coralnet.ucsd.edu/label/6323/
235,Anacropora,https://coralnet.ucsd.edu/label/4101/
236,Anacropora_branching_closed,https://coralnet.ucsd.edu/label/6925/
237,Anacropora_bushy,https://coralnet.ucsd.edu/label/4955/
238,Anacropora forbesi,https://coralnet.ucsd.edu/label/6315/
239,Anacropora matthai,https://coralnet.ucsd.edu/label/6316/
240,Anacropora pillai,https://coralnet.ucsd.edu/label/6317/
241,Anomastraea,https://coralnet.ucsd.edu/label/1261/
242,Anomastraea irregularis,https://coralnet.ucsd.edu/label/1574/
243,Apalmata,https://coralnet.ucsd.edu/label/223/
244,Apalmata Bleached,https://coralnet.ucsd.edu/label/1169/
245,Apalmata live,https://coralnet.ucsd.edu/label/1166/
246,Apalmata Old Dead,https://coralnet.ucsd.edu/label/1168/
247,Apalmata Pale,https://coralnet.ucsd.edu/label/1170/
248,Apalmata Recent Mortality,https://coralnet.ucsd.edu/label/1167/
249,Arabastrea,https://coralnet.ucsd.edu/label/2526/
250,Arb Acro - Thick 20-50cm,https://coralnet.ucsd.edu/label/5343/
251,Arb Acro - Thick <20cm,https://coralnet.ucsd.edu/label/5342/
252,Arb Acro - Thick >50cm,https://coralnet.ucsd.edu/label/5344/
253,Arborescent Acro 20-50cm,https://coralnet.ucsd.edu/label/5327/
254,Arborescent Acro <20cm,https://coralnet.ucsd.edu/label/5326/
255,Arborescent Acro >50cm,https://coralnet.ucsd.edu/label/5328/
256,ARMS-CREP-Coral,https://coralnet.ucsd.edu/label/1885/
257,Astrangia,https://coralnet.ucsd.edu/label/2568/
258,Astrangia poculata,https://coralnet.ucsd.edu/label/1460/
259,Astrangia sp.,https://coralnet.ucsd.edu/label/528/
260,Astrea,https://coralnet.ucsd.edu/label/2616/
261,Astrea annuligera,https://coralnet.ucsd.edu/label/6502/
262,Astrea curta,https://coralnet.ucsd.edu/label/3518/
263,Astrea_encrusting,https://coralnet.ucsd.edu/label/5265/
264,Astrea_massive,https://coralnet.ucsd.edu/label/5070/
265,Astrea spp._bleached,https://coralnet.ucsd.edu/label/5428/
266,Astreopora,https://coralnet.ucsd.edu/label/60/
267,Astreopora cucullata,https://coralnet.ucsd.edu/label/6324/
268,Astreopora-Cyphastrea,https://coralnet.ucsd.edu/label/155/
269,Astreopora (encrusting),https://coralnet.ucsd.edu/label/611/
270,Astreopora_encrusting,https://coralnet.ucsd.edu/label/4959/
271,Astreopora expansa,https://coralnet.ucsd.edu/label/6325/
272,Astreopora_foliose,https://coralnet.ucsd.edu/label/4937/
273,Astreopora gracilis,https://coralnet.ucsd.edu/label/3972/
274,Astreopora incrustans,https://coralnet.ucsd.edu/label/4502/
275,Astreopora_laminar,https://coralnet.ucsd.edu/label/6926/
276,Astreopora listeri,https://coralnet.ucsd.edu/label/6326/
277,Astreopora macrostoma,https://coralnet.ucsd.edu/label/6327/
278,Astreopora (massive),https://coralnet.ucsd.edu/label/613/
279,Astreopora_massive,https://coralnet.ucsd.edu/label/4958/
280,Astreopora myriophthalma,https://coralnet.ucsd.edu/label/4483/
281,Astreopora ocellata,https://coralnet.ucsd.edu/label/4484/
282,Astreopora Plate Like,https://coralnet.ucsd.edu/label/612/
283,Astreopora randalli,https://coralnet.ucsd.edu/label/6328/
284,Astreopora scabra,https://coralnet.ucsd.edu/label/6329/
285,Astreopora spp.,https://coralnet.ucsd.edu/label/1943/
286,Astreopora spp._bleached,https://coralnet.ucsd.edu/label/5430/
287,Astreopora (sub-massive),https://coralnet.ucsd.edu/label/2272/
288,Astreopora suggesta,https://coralnet.ucsd.edu/label/6330/
289,Astreopora (tabulate),https://coralnet.ucsd.edu/label/2271/
290,Astreopora-Turbinaria,https://coralnet.ucsd.edu/label/152/
291,Aung Myo Hsan,https://coralnet.ucsd.edu/label/6254/
292,Australogyra,https://coralnet.ucsd.edu/label/7157/
293,Australomussa,https://coralnet.ucsd.edu/label/6593/
294,Balanophyllia,https://coralnet.ucsd.edu/label/2429/
295,Balanophyllia elegans,https://coralnet.ucsd.edu/label/691/
296,Balanophyllia_NA,https://coralnet.ucsd.edu/label/6994/
297,Barabattoia,https://coralnet.ucsd.edu/label/6876/
298,Barabottia,https://coralnet.ucsd.edu/label/6875/
299,B b,https://coralnet.ucsd.edu/label/6708/
300,Bernardpora,https://coralnet.ucsd.edu/label/6180/
301,Bernardpora_encrusting,https://coralnet.ucsd.edu/label/6927/
302,Bernardpora stuchnuryi,https://coralnet.ucsd.edu/label/6389/
303,Big Size Reef,https://coralnet.ucsd.edu/label/7546/
304,Blastomussa,https://coralnet.ucsd.edu/label/87/
305,Blastomussa_encrusting,https://coralnet.ucsd.edu/label/6928/
306,Blastomussa_massive,https://coralnet.ucsd.edu/label/6929/
307,Blastomussa merleti,https://coralnet.ucsd.edu/label/6557/
308,Blastomussa Sub-Massive,https://coralnet.ucsd.edu/label/2273/
309,Blastomussa wellsi,https://coralnet.ucsd.edu/label/6558/
310,Bleached,https://coralnet.ucsd.edu/label/5794/
311,Bleached Acanthastrea,https://coralnet.ucsd.edu/label/2508/
312,Bleached Acanthastrea Sub-massive,https://coralnet.ucsd.edu/label/2260/
313,Bleached Acropora,https://coralnet.ucsd.edu/label/2485/
314,Bleached Acropora (arborescent),https://coralnet.ucsd.edu/label/4908/
315,Bleached Acropora branching,https://coralnet.ucsd.edu/label/203/
316,Bleached Acropora corymbose,https://coralnet.ucsd.edu/label/205/
317,Bleached Acropora Digitate,https://coralnet.ucsd.edu/label/2252/
318,Bleached Acropora Encrusting,https://coralnet.ucsd.edu/label/2253/
319,Bleached Acropora formosa.,https://coralnet.ucsd.edu/label/786/
320,Bleached Acropora tabulate,https://coralnet.ucsd.edu/label/202/
321,Bleached Agaricia,https://coralnet.ucsd.edu/label/6788/
322,Bleached Agaricia gahamae,https://coralnet.ucsd.edu/label/5047/
323,Bleached Alveopora Encrusting,https://coralnet.ucsd.edu/label/2264/
324,Bleached Alveopora Sub-massive,https://coralnet.ucsd.edu/label/2261/
325,Bleached Anomastraea,https://coralnet.ucsd.edu/label/3060/
326,Bleached Astrangia,https://coralnet.ucsd.edu/label/6790/
327,Bleached Astreopora,https://coralnet.ucsd.edu/label/206/
328,Bleached Astreopora Encrusting,https://coralnet.ucsd.edu/label/2265/
329,Bleached Astreopora Sub-Massive,https://coralnet.ucsd.edu/label/2268/
330,Bleached Astreopora Tabulate,https://coralnet.ucsd.edu/label/2269/
331,Bleached Blastomussa Sub-Massive,https://coralnet.ucsd.edu/label/2274/
332,Bleached branching,https://coralnet.ucsd.edu/label/4555/
333,Bleached branching coral,https://coralnet.ucsd.edu/label/7540/
334,Bleached Colpophyllia natans,https://coralnet.ucsd.edu/label/4917/
335,Bleached coral point,https://coralnet.ucsd.edu/label/6085/
336,Bleached Coscinarea,https://coralnet.ucsd.edu/label/207/
337,Bleached Coscinarea Encrusting,https://coralnet.ucsd.edu/label/2280/
338,Bleached Coscinarea Sub-Massive,https://coralnet.ucsd.edu/label/2277/
339,Bleached Cycloseris,https://coralnet.ucsd.edu/label/3233/
340,Bleached Cyphastrea,https://coralnet.ucsd.edu/label/208/
341,Bleached Cyphastrea ocellina,https://coralnet.ucsd.edu/label/3405/
342,Bleached Cyphastrea Sub-Massive,https://coralnet.ucsd.edu/label/2283/
343,Bleached Diploastrea,https://coralnet.ucsd.edu/label/4782/
344,Bleached Diploria labyrinthiformes,https://coralnet.ucsd.edu/label/697/
345,Bleached Dipsastraea,https://coralnet.ucsd.edu/label/3253/
346,Bleached Echinophyllia,https://coralnet.ucsd.edu/label/210/
347,Bleached Echinopora,https://coralnet.ucsd.edu/label/211/
348,Bleached Encrusting,https://coralnet.ucsd.edu/label/4558/
349,Bleached Favia Encrusting,https://coralnet.ucsd.edu/label/2290/
350,Bleached Favia gravida,https://coralnet.ucsd.edu/label/6793/
351,Bleached Favia (Indo-Pacific),https://coralnet.ucsd.edu/label/2495/
352,Bleached Favia matthai,https://coralnet.ucsd.edu/label/2032/
353,Bleached Favia sp.,https://coralnet.ucsd.edu/label/4470/
354,Bleached Favia Sub-massive,https://coralnet.ucsd.edu/label/2289/
355,Bleached Faviidae,https://coralnet.ucsd.edu/label/5272/
356,Bleached Favites,https://coralnet.ucsd.edu/label/2496/
357,Bleached Favites Encrusting,https://coralnet.ucsd.edu/label/2297/
358,Bleached Favites pentagona,https://coralnet.ucsd.edu/label/1763/
359,Bleached Favites Sub-massive,https://coralnet.ucsd.edu/label/2294/
360,Bleached Fungia,https://coralnet.ucsd.edu/label/774/
361,Bleached Galaxea,https://coralnet.ucsd.edu/label/4783/
362,Bleached Gardineroseris,https://coralnet.ucsd.edu/label/2509/
363,Bleached Goniastrea,https://coralnet.ucsd.edu/label/2497/
364,Bleached Goniastrea Sub-massive,https://coralnet.ucsd.edu/label/2298/
365,Bleached Goniopora,https://coralnet.ucsd.edu/label/224/
366,Bleached Halomitra,https://coralnet.ucsd.edu/label/4787/
367,Bleached Hard Coral,https://coralnet.ucsd.edu/label/119/
368,Bleached_Hard Coral,https://coralnet.ucsd.edu/label/3293/
369,Bleached Hard Coral Branching,https://coralnet.ucsd.edu/label/7770/
370,Bleached Hard Coral Columnar,https://coralnet.ucsd.edu/label/7773/
371,Bleached Hard Coral Digitate,https://coralnet.ucsd.edu/label/7541/
372,Bleached Hard Coral Encrusting,https://coralnet.ucsd.edu/label/7542/
373,Bleached Hard Coral Foliose,https://coralnet.ucsd.edu/label/7771/
374,Bleached Hard Coral Free-Living,https://coralnet.ucsd.edu/label/7772/
375,Bleached Hard Coral Massive,https://coralnet.ucsd.edu/label/7543/
376,Bleached Herpolitha,https://coralnet.ucsd.edu/label/4784/
377,Bleached Heteropsammia cochlea,https://coralnet.ucsd.edu/label/2302/
378,Bleached Hydnophora,https://coralnet.ucsd.edu/label/4786/
379,Bleached Isopora,https://coralnet.ucsd.edu/label/2491/
380,Bleached Isopora Columnar,https://coralnet.ucsd.edu/label/2309/
381,Bleached Isopora Encrusting,https://coralnet.ucsd.edu/label/2306/
382,Bleached Isopora Sub-Massive,https://coralnet.ucsd.edu/label/2303/
383,Bleached Leptastrea,https://coralnet.ucsd.edu/label/3061/
384,Bleached Leptastrea purpurea,https://coralnet.ucsd.edu/label/3406/
385,Bleached Leptastrea Sub-Massive,https://coralnet.ucsd.edu/label/2314/
386,Bleached Leptoria,https://coralnet.ucsd.edu/label/2492/
387,Bleached Leptoseris,https://coralnet.ucsd.edu/label/2516/
388,Bleached Leptoseris Branching,https://coralnet.ucsd.edu/label/2319/
389,Bleached Leptoseris Encrusting,https://coralnet.ucsd.edu/label/2315/
390,Bleached Lobactis scutaria,https://coralnet.ucsd.edu/label/3404/
391,Bleached Lobophyllia sp.,https://coralnet.ucsd.edu/label/777/
392,Bleached Madracis,https://coralnet.ucsd.edu/label/2411/
393,Bleached M. Annularis,https://coralnet.ucsd.edu/label/2250/
394,Bleached massive,https://coralnet.ucsd.edu/label/4552/
395,Bleached massive porites,https://coralnet.ucsd.edu/label/3931/
396,Bleached Meandrina braziliensis,https://coralnet.ucsd.edu/label/6795/
397,Bleached Merulina,https://coralnet.ucsd.edu/label/209/
398,Bleached Millepora alcicornis,https://coralnet.ucsd.edu/label/6809/
399,Bleached Millepora braziliensis,https://coralnet.ucsd.edu/label/7046/
400,Bleached Montastraea cavernosa,https://coralnet.ucsd.edu/label/6797/
401,Bleached Montastrea Encrusting,https://coralnet.ucsd.edu/label/2325/
402,Bleached Montastrea Sub-Massive,https://coralnet.ucsd.edu/label/2326/
403,Bleached Montipora,https://coralnet.ucsd.edu/label/212/
404,Bleached Montipora capitata,https://coralnet.ucsd.edu/label/2072/
405,Bleached  Montipora flabellata,https://coralnet.ucsd.edu/label/2075/
406,Bleached Montipora flabellata,https://coralnet.ucsd.edu/label/2186/
407,Bleached Montipora patula,https://coralnet.ucsd.edu/label/2073/
408,Bleached Montipora Sub-Massive,https://coralnet.ucsd.edu/label/2330/
409,Bleached Montipora Tabulate,https://coralnet.ucsd.edu/label/2334/
410,Bleached Mussismilia braziliensis,https://coralnet.ucsd.edu/label/6800/
411,Bleached Mussismilia harttii,https://coralnet.ucsd.edu/label/6803/
412,Bleached Mussismilia hispida,https://coralnet.ucsd.edu/label/6805/
