,Label ID,Name,URL,Functional Group,Popularity %,Short Code,Duplicate,Duplicate Notes,Verified,Has Calcification Rates
52,2059,Acropora (caespitose),https://coralnet.ucsd.edu/label/2059/,Hard coral,55,Acr_caes,False,,True,False
53,6303,Acropora carduus,https://coralnet.ucsd.edu/label/6303/,Hard coral,26,carduus,False,,False,False
54,5759,Acropora cerealis,https://coralnet.ucsd.edu/label/5759/,Hard coral,34,ACE,False,,False,False
55,1768,Acropora cervicornis,https://coralnet.ucsd.edu/label/1768/,Hard coral,80,AcrCerv,False,,True,True
56,6162,Acropora cervicornis - bleached,https://coralnet.ucsd.edu/label/6162/,Hard coral,0,BAcropCerv,False,,False,False
57,6635,Acropora cervicornis intermediate bleached,https://coralnet.ucsd.edu/label/6635/,Hard coral,0,CI-ACER,False,,False,False
58,7625,Acropora cervicornis - outplanted,https://coralnet.ucsd.edu/label/7625/,Hard coral,0,AcrCervO,False,,False,False
59,6168,Acropora cervicornis recently dead,https://coralnet.ucsd.edu/label/6168/,Hard coral,54,AC_recentD,False,,False,False
60,5347,Acropora cf. pulchra,https://coralnet.ucsd.edu/label/5347/,Hard coral,71,APULCHRA,False,,False,False
61,5367,Acropora cf. pulchra (bleached),https://coralnet.ucsd.edu/label/5367/,Hard coral,59,APUL-BL,False,,False,False
62,1545,Acropora clathrata,https://coralnet.ucsd.edu/label/1545/,Hard coral,63,AcrClath,False,,True,False
63,604,Acropora Club Shaped,https://coralnet.ucsd.edu/label/604/,Hard coral,0,AcClub,False,,False,False
64,5505,Acropora Compound,https://coralnet.ucsd.edu/label/5505/,Hard coral,57,AcrCom,False,,False,False
65,6893,Acropora cophodactyla,https://coralnet.ucsd.edu/label/6893/,Hard coral,15,ACOP,False,,False,False
66,221,Acropora (corymbose),https://coralnet.ucsd.edu/label/221/,Hard coral,76,Acr_corym,False,,True,False
67,2069,Acropora corymbose small,https://coralnet.ucsd.edu/label/2069/,Hard coral,49,acr_cor,False,,False,False
68,1412,Acropora corymbose/tabular/plate,https://coralnet.ucsd.edu/label/1412/,Hard coral,81,BRA_TAB-Ac,False,,False,False
69,2594,Acropora corymbose/tabular/plate Bleached,https://coralnet.ucsd.edu/label/2594/,Hard coral,64,BRA_TAB-B*,False,,False,False
70,3354,Acropora cytherea,https://coralnet.ucsd.edu/label/3354/,Hard coral,60,AcrCyth,False,,True,False
71,4515,Acropora cytherea bleached,https://coralnet.ucsd.edu/label/4515/,Hard coral,25,ACYT_BL,False,,False,False
72,6270,Acropora cytheria,https://coralnet.ucsd.edu/label/6270/,Hard coral,31,cytheria,False,,False,False
73,6290,Acropora dendrum,https://coralnet.ucsd.edu/label/6290/,Hard coral,26,dendrum,False,,False,False
74,6296,Acropora derawarensis,https://coralnet.ucsd.edu/label/6296/,Hard coral,26,derawarens,False,,False,False
