Label ID,Short Code
59,Acrop
60,Astreo
101,CCA
61,Cypha
4709,Favia
63,Fung
64,Gardin
65,Herpo
66,Lepta
81,Macro
79,Mille
69,Monta
70,Monti
85,Off
72,Pavon
73,Pocill
74,Porit
84,Sand
80,Soft
82,Turf
