1,VPI_ID,VPI_label_V3,VPI_label_V4,VPI_name,Taxo_high,Fxnl_high,Fxnl_low,Name,Short Code,Functional Group,Label ID
45,44,Stylaster,Stylaster,Stylaster_roseus,Stylasteridae,Invertebrates,Invertebrates,Stylaster roseus,Fire Sros,Hard coral,2456
46,45,Trididemnum,Trididemnum,Trididemnum,Tunicata,Invertebrates,Invertebrates,Trididemnum spp.,TRIDI,Other Invertebrates,1800
47,46,Tunicate,Tunicate,Tunicate,Tunicata,Invertebrates,Invertebrates,Tunicate,Tunicate,Other Invertebrates,1854
48,47,A_cerv,A_cer,Acropora_cervicornis,Acroporidae,Hard_coral,Hard_coral,Acropora cervicornis,AcrCerv,Hard coral,1768
49,48,A_palm,A_pal,Acropora_palmata,Acroporidae,Hard_coral,Hard_coral,Acropora palmata,AcrPalm,Hard coral,1769
50,49,A_prolif,A_pro,Acropora_prolifera,Acroporidae,Hard_coral,Hard_coral,Acropora prolifera,AcrPro,Hard coral,1356
51,50,Agaricia_sp,Agaricia_sp,Agaricia_sp,Agariciidae,Hard_coral,Hard_coral,Agaricia spp.,AG,Hard coral,2962
52,51,Anemone,Anemone,Anemone,Anemone,Anemone,Invertebrates,Anemone,Anemone,Other Invertebrates,3208
53,52,Barrell_spng,Barrell_spng,Xestospongia,Sponge,Sponge,Sponge,Xestospongia,XES,Other Invertebrates,2963
55,54,Briareum,Briareum,Briareum_branch,Octocoral,Soft_coral,Soft_coral,Briareum,GORG-BRI,Other Invertebrates,1795
54,53,Branch_octo,Branch_octo,Branching_Octocorals,Octocoral,Soft_coral,Soft_coral,Branching_Octocorals,Branch_oct,Other Invertebrates,7768
56,55,Bryozo,Bryozo,Bryozoan,Bryozoan,Invertebrates,Invertebrates,Bryozoan,bryozoan,Other Invertebrates,1853
57,56,Chondrilla,Chondrilla,Chondrilla,Sponge,Sponge,Sponge,Chondrilla spp.,CHON,Other Invertebrates,1796
58,57,Clionid,Clionid,Clionid,Sponge,Sponge,Sponge,Clionid spp.,CLIONI,Other Invertebrates,1797
59,58,Colpo_nat,C_nat,Colpophyllia_natans,Faviidae,Hard_coral,Hard_coral,Colpophyllia natans,CoNat,Hard coral,1772
60,59,Coral_skeleton,Coral_skeleton,Coral_skeleton,Coral_skeleton,Coral_skeleton,Coral_skeleton,Coral skeleton,COSK,Hard Substrate,2790
61,60,Corallimorph,Corallimorph,Corallimorph,Corallimorph,Soft_coral,Soft_coral,Corallimorpharia,Collimorph,Other Invertebrates,134
62,61,Diplor_lab,D_lab,Diploria_labyrinthiformis,Faviidae,Hard_coral,Hard_coral,Diploria labyrinthiformis,DiplLab,Hard coral,1187
63,62,Dendrogyra,D_cyl,Dendrogyra_cylindrus,Meandrinidae,Hard_coral,Hard_coral,Dendrogyra cylindrus,DenCyl,Hard coral,1773
64,63,Dichocoenia,D_sto,Dichocoenia_stokesii,Meandrinidae,Hard_coral,Hard_coral,Dichocoenia,dichoco,Hard coral,6915
65,64,Encr_spng,Encr_spng,encrusting_sponge,Sponge,Sponge,Sponge,Encrusting sponge,ENSP,Other Invertebrates,147
66,65,Eusmilia,E_fas,Eusmilia_fastigiata,Meandrinidae,Hard_coral,Hard_coral,Eusmilia fastigiata,EFAS,Hard coral,382
67,66,Favia,F_fra,Favia_fragum,Faviidae,Hard_coral,Hard_coral,Favia fragum,FaviaFrag,Hard coral,1777
68,67,Helioseris,H_cuc,Helioseris_cucculata,Agariciidae,Hard_coral,Hard_coral,Helioseris,helios,Other Invertebrates,6918
69,68,Hydroid,Hydroid,Hydroid,Hydroid,Invertebrates,Invertebrates,Hydroid,Hydra,Other Invertebrates,456
70,69,Isophyllia_sp,Isophyllia_sp,Isophyllia_sp,Mussidae,Hard_coral,Hard_coral,Isophyllia,Isophyllia,Hard coral,385
71,70,Mill_alci,M_alc,Millepora_alcicornis,Milleporidae,Invertebrates,Millepora,Millepora alcicornis,MILA,Other Invertebrates,1742
72,71,M_cav,M_cav,Montastraea_cavernosa,Faviidae,Hard_coral,Hard_coral,Montastraea cavernosa,MontaCav,Hard coral,110
73,72,Mill_comp,M_com,Millepora_complanata,Milleporidae,Invertebrates,Millepora,Millepora complanata,MILC,Other Invertebrates,1743
74,73,M_decac,M_dec,Madracis_decactis complex,Astrocoeniidae,Hard_coral,Hard_coral,Madracis decactis,MadDeca,Hard coral,1781
